Origin,Origin City,Origin Country,Origin IATA,Destination,Flight Distance (km),Flight Time (min),Airlines
AAN,Al Ain,United Arab Emirates,AAN,CCJ,2594,225,Air India Express
AAN,Al Ain,United Arab Emirates,AAN,ISB,1964,193,Pakistan International Airlines
AAN,Al Ain,United Arab Emirates,AAN,KHT,1721,150,Ariana Afghan Airlines
AAN,Al Ain,United Arab Emirates,AAN,TUK,775,143,Pakistan International Airlines
AAP,Samarinda,Indonesia,AAP,CGK,1338,125,"Batik Air, Citilink"
AAP,Samarinda,Indonesia,AAP,SUB,919,95,"Lion Air, Citilink"
AAP,Samarinda,Indonesia,AAP,BEJ,280,60,Wings Air
AAP,Samarinda,Indonesia,AAP,YIA,1153,115,
AAP,Samarinda,Indonesia,AAP,DPS,954,100,
AAP,Samarinda,Indonesia,AAP,UPG,579,75,
AAT,Altay,China,AAT,URC,430,75,"China Southern Airlines, Tianjin Airlines"
AAT,Altay,China,AAT,XIY,2268,215,China Eastern Airlines
AAT,Altay,China,AAT,KRL,698,78,Gestair
AAT,Altay,China,AAT,KCA,782,100,Gestair
AAT,Altay,China,AAT,LHW,1784,180,Spring Airlines
AAT,Altay,China,AAT,TLQ,531,60,Chengdu Airlines
AAT,Altay,China,AAT,KRY,340,50,Chengdu Airlines
AAT,Altay,China,AAT,YIN,672,80,Chengdu Airlines
AAT,Altay,China,AAT,TFU,2387,270,Sichuan Airlines
AAT,Altay,China,AAT,TCG,378,55,Chengdu Airlines
AAT,Altay,China,AAT,PKX,2445,243,China Southern Airlines
AAT,Altay,China,AAT,CGQ,2919,300,China Southern Airlines
AAT,Altay,China,AAT,CAN,3507,325,China Southern Airlines
AAT,Altay,China,AAT,HRB,2898,295,China Southern Airlines
AAY,Al Ghaydah,Republic of Yemen,AAY,ADE,854,90,Yemenia
AAY,Al Ghaydah,Republic of Yemen,AAY,SCT,436,75,Yemenia
ABD,Abadan,Iran,ABD,THR,657,80,"Iran Aseman Airlines, Iran Air, Qeshm Air"
ABD,Abadan,Iran,ABD,MHD,1245,120,"Iran Aseman Airlines, Qeshm Air, Iran Airtour, AIS Airlines"
ABD,Abadan,Iran,ABD,IFN,435,55,Iran Aseman Airlines
ABT,Al-Baha,Saudi Arabia,ABT,RUH,733,100,"Saudia, Flynas"
ABT,Al-Baha,Saudi Arabia,ABT,JED,300,65,Saudia
ABT,Al-Baha,Saudi Arabia,ABT,DMM,1078,115,"Flynas, Flyadeal"
ABU,Atambua,Indonesia,ABU,KOE,182,50,Wings Air
ACF,Alaer,China,ACF,URC,641,75,"China Southern Airlines, Tianjin Airlines"
ACF,Alaer,China,ACF,SHF,569,95,"Chengdu Airlines, Gestair"
ACF,Alaer,China,ACF,TWC,183,38,Gestair
ACF,Alaer,China,ACF,KRL,430,65,Gestair
ACF,Alaer,China,ACF,YIN,390,65,Gestair
ACF,Alaer,China,ACF,AKU,122,40,Gestair
ACF,Alaer,China,ACF,KHG,459,78,Gestair
ACF,Alaer,China,ACF,TFU,2376,235,"Loong Air, Chengdu Airlines"
ACF,Alaer,China,ACF,TLQ,710,90,Chengdu Airlines
ACF,Alaer,China,ACF,HTN,395,65,Chengdu Airlines
ACF,Alaer,China,ACF,CGO,2937,235,Loong Air
ACF,Alaer,China,ACF,HGH,3702,335,Loong Air
ACP,Sahand,Iran,ACP,THR,498,90,Iran Air
ACX,Xingyi,China,ACX,KWE,244,58,"Gestair, Colorful GuiZhou Airlines, 9 Air Co"
ACX,Xingyi,China,ACX,PVG,1783,175,China Eastern Airlines
ACX,Xingyi,China,ACX,TEN,532,73,Colorful GuiZhou Airlines
ACX,Xingyi,China,ACX,WMT,351,60,Colorful GuiZhou Airlines
ACX,Xingyi,China,ACX,CAN,867,100,China Southern Airlines
ACX,Xingyi,China,ACX,CKG,539,95,"Gestair, Okay Airways"
ACX,Xingyi,China,ACX,WUH,1107,130,Colorful GuiZhou Airlines
ACX,Xingyi,China,ACX,XIY,1099,130,Colorful GuiZhou Airlines
ACX,Xingyi,China,ACX,ZUH,923,120,Colorful GuiZhou Airlines
ACX,Xingyi,China,ACX,LLB,305,70,Colorful GuiZhou Airlines
ACX,Xingyi,China,ACX,PKX,1925,195,China United Airlines
ACX,Xingyi,China,ACX,JHG,549,80,Okay Airways
ACX,Xingyi,China,ACX,CTU,616,85,Chengdu Airlines
ACX,Xingyi,China,ACX,SZX,941,110,Chengdu Airlines
ACX,Xingyi,China,ACX,HGH,1628,155,Okay Airways
ACX,Xingyi,China,ACX,FOC,1480,150,Chengdu Airlines
ACX,Xingyi,China,ACX,KMG,204,55,Sichuan Airlines
ACX,Xingyi,China,ACX,NGB,1711,145,Colorful GuiZhou Airlines
ACX,Xingyi,China,ACX,SWA,1184,140,Sichuan Airlines
ACX,Xingyi,China,ACX,TFU,581,80,Chengdu Airlines
ACX,Xingyi,China,ACX,HAK,803,110,Okay Airways
ACZ,Zabol,Iran,ACZ,MHD,597,65,"Qeshm Air, Mahan Air"
ACZ,Zabol,Iran,ACZ,THR,1078,135,Mahan Air
ADA,Adana,Turkiye,ADA,DOH,2023,205,Qatar Airways
ADB,Izmir,Turkiye,ADB,IST,356,85,"Pegasus, Turkish Airlines"
ADB,Izmir,Turkiye,ADB,SAW,344,70,"Pegasus, FlyViking"
ADB,Izmir,Turkiye,ADB,ESB,543,85,"Pegasus, FlyViking"
ADB,Izmir,Turkiye,ADB,ECN,665,80,"Pegasus, SunExpress"
ADB,Izmir,Turkiye,ADB,AYT,357,65,"SunExpress, TUIfly Netherlands, Luxair"
ADB,Izmir,Turkiye,ADB,GZT,923,100,SunExpress
ADB,Izmir,Turkiye,ADB,DIY,1144,115,SunExpress
ADB,Izmir,Turkiye,ADB,GYD,1982,180,"AZAL Azerbaijan Airlines, Pegasus, FlyViking"
ADB,Izmir,Turkiye,ADB,ASR,729,88,"Pegasus, SunExpress"
ADB,Izmir,Turkiye,ADB,TZX,1123,115,"Pegasus, SunExpress"
ADB,Izmir,Turkiye,ADB,SZF,869,95,SunExpress
ADB,Izmir,Turkiye,ADB,VAN,1412,125,SunExpress
ADB,Izmir,Turkiye,ADB,BEY,900,95,SunExpress
ADB,Izmir,Turkiye,ADB,IKA,2158,195,Iran Airtour
ADB,Izmir,Turkiye,ADB,MLX,970,105,SunExpress
ADB,Izmir,Turkiye,ADB,ERZ,1226,120,SunExpress
ADB,Izmir,Turkiye,ADB,KYA,475,70,SunExpress
ADB,Izmir,Turkiye,ADB,AUH,3016,275,SunExpress
ADB,Izmir,Turkiye,ADB,TBS,1563,145,SunExpress
ADB,Izmir,Turkiye,ADB,SKD,3426,273,SunExpress
ADB,Izmir,Turkiye,ADB,EZS,1057,110,"Pegasus, SunExpress"
ADB,Izmir,Turkiye,ADB,KSY,1393,130,SunExpress
ADB,Izmir,Turkiye,ADB,TBZ,1669,150,Iran Airtour
ADB,Izmir,Turkiye,ADB,DXB,3021,278,SunExpress
ADB,Izmir,Turkiye,ADB,JED,2172,215,Saudia
ADE,Aden,Republic of Yemen,ADE,JED,1161,120,Yemenia
ADE,Aden,Republic of Yemen,ADE,RIY,511,60,Yemenia
ADE,Aden,Republic of Yemen,ADE,RUH,1354,120,Yemenia
ADE,Aden,Republic of Yemen,ADE,AMM,2288,210,Yemenia
ADE,Aden,Republic of Yemen,ADE,GXF,532,60,Yemenia
ADE,Aden,Republic of Yemen,ADE,AAY,854,90,Yemenia
ADE,Aden,Republic of Yemen,ADE,SCT,963,90,Yemenia
ADE,Aden,Republic of Yemen,ADE,KWI,1842,180,Yemenia
ADE,Aden,Republic of Yemen,ADE,BOM,3054,240,Yemenia
ADU,Ardabil,Iran,ADU,THR,389,60,"Iran Aseman Airlines, Iran Air, Mahan Air"
AEB,Baise,China,AEB,CSX,797,110,China Southern Airlines
AEB,Baise,China,AEB,CKG,665,90,China Eastern Airlines
AEB,Baise,China,AEB,NNG,173,120,Guangxi Beibu Gulf Airlines
AEU,Abu Musa,Iran,AEU,BND,198,65,Iran Air
AGR,Agra,India,AGR,LKO,293,75,IndiGo
AGR,Agra,India,AGR,BLR,1545,140,IndiGo
AGR,Agra,India,AGR,BOM,1034,115,IndiGo
AGR,Agra,India,AGR,HYD,1100,120,IndiGo
AGX,Agatti Island,India,AGX,COK,466,85,"Air India, IndiGo"
AGX,Agatti Island,India,AGX,BLR,656,120,IndiGo
AGX,Agatti Island,India,AGX,GOX,572,115,Indian Airlines
AHB,Abha,Saudi Arabia,AHB,RUH,854,105,"Saudia, Flynas, Flyadeal"
AHB,Abha,Saudi Arabia,AHB,JED,528,80,"Saudia, Flynas, Flyadeal"
AHB,Abha,Saudi Arabia,AHB,DMM,1171,120,"Flynas, Flyadeal"
AHB,Abha,Saudi Arabia,AHB,DXB,1526,170,flydubai
AHB,Abha,Saudi Arabia,AHB,SHJ,1543,155,Air Arabia
AHB,Abha,Saudi Arabia,AHB,TUU,1281,130,Flynas
AHB,Abha,Saudi Arabia,AHB,MED,762,100,Flynas
AHB,Abha,Saudi Arabia,AHB,DOH,1209,140,Qatar Airways
AHJ,Hongyuan,China,AHJ,LXA,1150,140,Air China
AHJ,Hongyuan,China,AHJ,TFU,315,65,Air China
AJF,Jouf,Saudi Arabia,AJF,RUH,843,100,"Saudia, Flynas"
AJF,Jouf,Saudi Arabia,AJF,JED,904,115,Saudia
AJF,Jouf,Saudi Arabia,AJF,SHJ,1599,140,Air Arabia
AJF,Jouf,Saudi Arabia,AJF,DXB,1587,165,flydubai
AJI,Agri,Turkiye,AJI,ESB,859,105,FlyViking
AJI,Agri,Turkiye,AJI,IST,1223,150,Turkish Airlines
AJI,Agri,Turkiye,AJI,SAW,1173,140,FlyViking
AJK,Arak,Iran,AJK,MHD,921,105,Iran Airtour
AJL,Aizawl,India,AJL,CCU,447,60,IndiGo
AJL,Aizawl,India,AJL,GAU,271,55,"IndiGo, Air India"
AJL,Aizawl,India,AJL,IMF,164,45,Air India
AJL,Aizawl,India,AJL,DEL,1635,160,IndiGo
AJL,Aizawl,India,AJL,SHL,216,60,Air India
AKA,Ankang,China,AKA,CAN,1118,125,China Southern Airlines
AKA,Ankang,China,AKA,HGH,1125,110,Beijing Capital Airlines
AKA,Ankang,China,AKA,PKX,1010,115,China United Airlines
AKA,Ankang,China,AKA,PVG,1228,130,China Eastern Airlines
AKA,Ankang,China,AKA,WUH,544,80,Xiamen Airlines
AKA,Ankang,China,AKA,CZX,1024,120,Spring Airlines
AKA,Ankang,China,AKA,LHW,644,95,Spring Airlines
AKA,Ankang,China,AKA,SZX,1214,140,China Southern Airlines
AKJ,Asahikawa,Japan,AKJ,HND,929,105,"JAL, ANA"
AKJ,Asahikawa,Japan,AKJ,NGO,1092,120,ANA
AKJ,Asahikawa,Japan,AKJ,ITM,1155,120,JAL
AKJ,Asahikawa,Japan,AKJ,NRT,894,108,Jetstar Japan
AKJ,Asahikawa,Japan,AKJ,ICN,1517,180,Asiana Airlines
AKJ,Asahikawa,Japan,AKJ,TPE,2823,280,Tigerair Taiwan
AKU,Aksu,China,AKU,URC,658,80,"Air China, China Southern Airlines, Tianjin Airlines, Shandong Airlines"
AKU,Aksu,China,AKU,TFU,2485,240,"Air China, Chengdu Airlines, Sichuan Airlines"
AKU,Aksu,China,AKU,CGO,3023,258,"West Air (China), Loong Air, Urumqi Airlines"
AKU,Aksu,China,AKU,YIN,310,65,"Gestair, Chengdu Airlines"
AKU,Aksu,China,AKU,LHW,2084,205,"Air China, Spring Airlines"
AKU,Aksu,China,AKU,KCA,230,45,Gestair
AKU,Aksu,China,AKU,CKG,2696,253,"Air China, Gestair, Chongqing Airlines"
AKU,Aksu,China,AKU,XIY,2604,205,"Shandong Airlines, China Eastern Airlines"
AKU,Aksu,China,AKU,BPL,435,70,"Gestair, Chengdu Airlines"
AKU,Aksu,China,AKU,KRY,610,100,Gestair
AKU,Aksu,China,AKU,TWC,176,50,"Gestair, Air China"
AKU,Aksu,China,AKU,INC,2250,210,Loong Air
AKU,Aksu,China,AKU,QSZ,434,50,Gestair
AKU,Aksu,China,AKU,KHG,410,60,Gestair
AKU,Aksu,China,AKU,ACF,122,40,Gestair
AKU,Aksu,China,AKU,TLQ,751,90,Chengdu Airlines
AKU,Aksu,China,AKU,FYN,962,100,Chengdu Airlines
AKU,Aksu,China,AKU,JJN,3972,330,Chongqing Airlines
AKU,Aksu,China,AKU,KRL,490,70,Gestair
AKU,Aksu,China,AKU,PEK,3049,263,Air China
AKU,Aksu,China,AKU,WUH,3246,280,Loong Air
AKX,Aktobe,Kazakhstan,AKX,NQZ,1010,105,"SCAT Airlines, Air Astana, Qazaq Air"
AKX,Aktobe,Kazakhstan,AKX,ALA,1689,160,"Air Astana, SCAT Airlines"
AKX,Aktobe,Kazakhstan,AKX,GUW,526,70,"Qazaq Air, Air Astana"
AKX,Aktobe,Kazakhstan,AKX,SCO,848,95,Air Astana
AKX,Aktobe,Kazakhstan,AKX,HSA,1157,150,Qazaq Air
AKX,Aktobe,Kazakhstan,AKX,IST,2410,258,SCAT Airlines
AKY,Sittwe,Myanmar,AKY,RGN,495,80,"Mann Yadanarpon Airlines, Air KBZ, Myanmar National Airlines, Myanmar Airways International"
AKY,Sittwe,Myanmar,AKY,MDL,366,60,Myanmar National Airlines
AKY,Sittwe,Myanmar,AKY,VBA,126,30,Myanmar National Airlines
ALA,Almaty,Kazakhstan,ALA,NQZ,951,105,"SCAT Airlines, Air Astana, Lufthansa, Qazaq Air, Neos"
ALA,Almaty,Kazakhstan,ALA,CIT,626,90,"SCAT Airlines, Air Astana"
ALA,Almaty,Kazakhstan,ALA,SCO,2087,200,"SCAT Airlines, Air Astana"
ALA,Almaty,Kazakhstan,ALA,TAS,680,100,"Uzbekistan Airways, Air Astana"
ALA,Almaty,Kazakhstan,ALA,GUW,2013,190,"Air Astana, SCAT Airlines"
ALA,Almaty,Kazakhstan,ALA,IST,3932,380,"Air Astana, Turkish Airlines, SCAT Airlines"
ALA,Almaty,Kazakhstan,ALA,DXB,2813,293,"flydubai, Air Astana"
ALA,Almaty,Kazakhstan,ALA,UKK,851,90,"SCAT Airlines, Air Astana"
ALA,Almaty,Kazakhstan,ALA,AKX,1689,165,"Air Astana, SCAT Airlines"
ALA,Almaty,Kazakhstan,ALA,DEL,1641,205,"Air Astana, IndiGo"
ALA,Almaty,Kazakhstan,ALA,KGF,758,90,Air Astana
ALA,Almaty,Kazakhstan,ALA,URC,844,100,"China Southern Airlines, Air Astana"
ALA,Almaty,Kazakhstan,ALA,ICN,4182,340,"Air Astana, Asiana Airlines"
ALA,Almaty,Kazakhstan,ALA,PWQ,983,105,Air Astana
ALA,Almaty,Kazakhstan,ALA,URA,2102,198,Air Astana
ALA,Almaty,Kazakhstan,ALA,DOH,3060,295,Qatar Airways
ALA,Almaty,Kazakhstan,ALA,KZO,928,105,Air Astana
ALA,Almaty,Kazakhstan,ALA,AYT,3953,360,"Air Astana, Pegasus"
ALA,Almaty,Kazakhstan,ALA,FRU,211,50,"Air Astana, Avia Traffic Company"
ALA,Almaty,Kazakhstan,ALA,PLX,815,95,Air Astana
ALA,Almaty,Kazakhstan,ALA,AUH,2930,290,Intercontinental Airways (Gambia)
ALA,Almaty,Kazakhstan,ALA,DMB,469,60,SCAT Airlines
ALA,Almaty,Kazakhstan,ALA,DYU,873,110,"Air Astana, Air Southwest"
ALA,Almaty,Kazakhstan,ALA,GYD,2251,225,"Air Astana, AZAL Azerbaijan Airlines"
ALA,Almaty,Kazakhstan,ALA,KSN,1479,145,Air Astana
ALA,Almaty,Kazakhstan,ALA,PEK,3280,280,Air Astana
ALA,Almaty,Kazakhstan,ALA,SHJ,2797,270,Air Arabia
ALA,Almaty,Kazakhstan,ALA,TBS,2626,250,Air Astana
ALA,Almaty,Kazakhstan,ALA,PKX,3287,290,China Southern Airlines
ALA,Almaty,Kazakhstan,ALA,HKT,4421,420,Air Astana
ALA,Almaty,Kazakhstan,ALA,PPK,1391,130,SCAT Airlines
ALA,Almaty,Kazakhstan,ALA,HSA,688,90,Air Astana
ALA,Almaty,Kazakhstan,ALA,KWI,3020,295,Jazeera Airways
ALA,Almaty,Kazakhstan,ALA,BUS,2898,270,Air Astana
ALA,Almaty,Kazakhstan,ALA,BKK,3993,398,Air Astana
ALA,Almaty,Kazakhstan,ALA,HGH,4083,335,Loong Air
ALA,Almaty,Kazakhstan,ALA,KUL,5118,485,AirAsia X
ALA,Almaty,Kazakhstan,ALA,SAW,3901,370,Pegasus
ALA,Almaty,Kazakhstan,ALA,MLE,4352,400,Air Astana
ALA,Almaty,Kazakhstan,ALA,UBN,2360,220,Hunnu Air
ALA,Almaty,Kazakhstan,ALA,ESB,3639,340,"Pegasus, FlyViking"
ALA,Almaty,Kazakhstan,ALA,JED,4240,400,"Air Astana, Flynas"
ALA,Almaty,Kazakhstan,ALA,DZN,871,90,SCAT Airlines
ALA,Almaty,Kazakhstan,ALA,KOV,1238,140,Qazaq Air
ALA,Almaty,Kazakhstan,ALA,KUT,2811,265,Air Astana
ALA,Almaty,Kazakhstan,ALA,XIY,2903,290,China Southern Airlines
ALA,Almaty,Kazakhstan,ALA,NCU,1421,150,Uzbekistan Airways
ALA,Almaty,Kazakhstan,ALA,BJV,4189,360,Air Astana
ALA,Almaty,Kazakhstan,ALA,MCT,2785,285,Salam Air
ALA,Almaty,Kazakhstan,ALA,MED,3984,370,Air Astana
ALA,Almaty,Kazakhstan,ALA,DBB,4461,410,Air Cairo
ALA,Almaty,Kazakhstan,ALA,PQC,4507,450,Air Astana
ALP,Aleppo,Syrian Arab Republic,ALP,SHJ,2119,255,
ALP,Aleppo,Syrian Arab Republic,ALP,EVN,766,170,
AMD,Ahmedabad,India,AMD,DEL,755,100,"IndiGo, Air India, SpiceJet, Vistara"
AMD,Ahmedabad,India,AMD,BOM,440,85,"IndiGo, Air India, SpiceJet, Vistara"
AMD,Ahmedabad,India,AMD,BLR,1217,140,"IndiGo, Vistara"
AMD,Ahmedabad,India,AMD,PNQ,514,90,IndiGo
AMD,Ahmedabad,India,AMD,AUH,1837,185,"Etihad Airways, Air Arabia Abu Dhabi, IndiGo"
AMD,Ahmedabad,India,AMD,JAI,525,95,"IndiGo, SpiceJet"
AMD,Ahmedabad,India,AMD,CCU,1623,145,IndiGo
AMD,Ahmedabad,India,AMD,DXB,1769,190,"Emirates, flydubai, SpiceJet, IndiGo"
AMD,Ahmedabad,India,AMD,HYD,885,103,IndiGo
AMD,Ahmedabad,India,AMD,IDR,328,70,IndiGo
AMD,Ahmedabad,India,AMD,GOI,859,95,"IndiGo, Vistara"
AMD,Ahmedabad,India,AMD,MAA,1371,140,"IndiGo, SpiceJet"
AMD,Ahmedabad,India,AMD,IXC,939,105,IndiGo
AMD,Ahmedabad,India,AMD,LKO,929,105,IndiGo
AMD,Ahmedabad,India,AMD,BHO,483,90,IndiGo
AMD,Ahmedabad,India,AMD,VNS,1071,110,"SpiceJet, IndiGo"
AMD,Ahmedabad,India,AMD,NAG,698,125,IndiGo
AMD,Ahmedabad,India,AMD,JDH,356,80,IndiGo
AMD,Ahmedabad,India,AMD,KWI,2552,245,"Jazeera Airways, Kuwait Airways, IndiGo"
AMD,Ahmedabad,India,AMD,ATQ,981,115,IndiGo
AMD,Ahmedabad,India,AMD,BBI,1400,135,IndiGo
AMD,Ahmedabad,India,AMD,JED,3443,320,IndiGo
AMD,Ahmedabad,India,AMD,KUL,3859,335,"Malaysia Airlines, AirAsia"
AMD,Ahmedabad,India,AMD,DMK,3117,260,"Thai AirAsia, Thai Lion Air"
AMD,Ahmedabad,India,AMD,BHJ,303,63,Shuttle America
AMD,Ahmedabad,India,AMD,DED,966,100,IndiGo
AMD,Ahmedabad,India,AMD,PAT,1295,130,IndiGo
AMD,Ahmedabad,India,AMD,IXU,456,105,IndiGo
AMD,Ahmedabad,India,AMD,SGN,3858,310,VietJet Air
AMD,Ahmedabad,India,AMD,BKK,3141,265,Thai Airways International
AMD,Ahmedabad,India,AMD,COK,1483,145,IndiGo
AMD,Ahmedabad,India,AMD,DOH,2146,210,Qatar Airways
AMD,Ahmedabad,India,AMD,SHJ,1754,170,Air Arabia
AMD,Ahmedabad,India,AMD,SIN,4152,350,Singapore Airlines
AMD,Ahmedabad,India,AMD,DIU,314,80,IndiGo
AMD,Ahmedabad,India,AMD,SXR,1229,130,IndiGo
AMD,Ahmedabad,India,AMD,ISK,352,80,IndiGo
AMD,Ahmedabad,India,AMD,GOX,822,100,"IndiGo, SpiceJet"
AMD,Ahmedabad,India,AMD,UDR,215,55,Air India
AMD,Ahmedabad,India,AMD,IXR,1299,130,IndiGo
AMD,Ahmedabad,India,AMD,IXB,1635,155,SpiceJet
AMD,Ahmedabad,India,AMD,IXJ,1087,125,IndiGo
AMD,Ahmedabad,India,AMD,HAN,3421,255,VietJet Air
AMD,Ahmedabad,India,AMD,NDC,649,95,Shuttle America
AMD,Ahmedabad,India,AMD,RPR,963,105,IndiGo
AMD,Ahmedabad,India,AMD,IXG,824,105,Shuttle America
AMD,Ahmedabad,India,AMD,NJF,2947,270,Iraqi Airways
AMD,Ahmedabad,India,AMD,GWL,670,105,
AMM,Amman,Jordan,AMM,RUH,1289,135,"Royal Jordanian, Saudia, Flynas"
AMM,Amman,Jordan,AMM,JED,1157,135,"Royal Jordanian, Saudia, Flynas, Jordan Aviation"
AMM,Amman,Jordan,AMM,IST,1240,150,"Royal Jordanian, Turkish Airlines, Jordan Aviation"
AMM,Amman,Jordan,AMM,DXB,2024,185,"Emirates, flydubai, Royal Jordanian"
AMM,Amman,Jordan,AMM,BEY,237,75,"Middle East Airlines, Royal Jordanian"
AMM,Amman,Jordan,AMM,DOH,1686,160,"Qatar Airways, Royal Jordanian"
AMM,Amman,Jordan,AMM,BGW,792,95,"Iraqi Airways, Royal Jordanian"
AMM,Amman,Jordan,AMM,AUH,2000,180,"Etihad Airways, Royal Jordanian, Intercontinental Airways (Gambia), Air Arabia Abu Dhabi"
AMM,Amman,Jordan,AMM,KWI,1182,130,"Jazeera Airways, Kuwait Airways, Royal Jordanian, Jordan Aviation"
AMM,Amman,Jordan,AMM,AQJ,251,55,"Royal Jordanian, Edelweiss Air, Turkish Airlines"
AMM,Amman,Jordan,AMM,SHJ,2035,170,"Air Arabia, Jordan Aviation"
AMM,Amman,Jordan,AMM,EBL,890,120,"Royal Jordanian, Iraqi Airways"
AMM,Amman,Jordan,AMM,BAH,1547,150,"Gulf Air, Royal Jordanian"
AMM,Amman,Jordan,AMM,MED,874,110,"Royal Jordanian, Saudia, Flynas"
AMM,Amman,Jordan,AMM,SAH,1983,180,Yemenia
AMM,Amman,Jordan,AMM,DMM,1463,145,"Royal Jordanian, Flynas"
AMM,Amman,Jordan,AMM,ESB,969,155,"Pegasus, FlyViking"
AMM,Amman,Jordan,AMM,SAW,1181,175,Pegasus
AMM,Amman,Jordan,AMM,AYT,746,110,"Pegasus, Royal Jordanian"
AMM,Amman,Jordan,AMM,MCT,2370,200,Oman Air
AMM,Amman,Jordan,AMM,LCA,413,70,Royal Jordanian
AMM,Amman,Jordan,AMM,BSR,1120,130,"Iraqi Airways, Royal Jordanian"
AMM,Amman,Jordan,AMM,ISU,963,120,Royal Jordanian
AMM,Amman,Jordan,AMM,TZX,1083,170,Pegasus
AMM,Amman,Jordan,AMM,ADE,2288,210,Yemenia
AMM,Amman,Jordan,AMM,ULH,616,100,Royal Jordanian
AMM,Amman,Jordan,AMM,BKK,6848,520,Royal Jordanian
AMM,Amman,Jordan,AMM,TBS,1362,150,Jordan Aviation
AMM,Amman,Jordan,AMM,PFO,465,70,"Ryanair, Royal Jordanian"
AMM,Amman,Jordan,AMM,ICN,7986,685,Asiana Airlines
AMQ,Ambon,Indonesia,AMQ,CGK,2392,205,"Garuda Indonesia, Batik Air, Citilink"
AMQ,Ambon,Indonesia,AMQ,UPG,960,100,"Batik Air, Lion Air, Sriwijaya Air"
AMQ,Ambon,Indonesia,AMQ,SOQ,472,68,"TransNusa, Lion Air"
AMQ,Ambon,Indonesia,AMQ,TTE,507,90,"Sriwijaya Air, Wings Air"
AMQ,Ambon,Indonesia,AMQ,MDC,678,85,TransNusa
AMQ,Ambon,Indonesia,AMQ,SUB,1742,165,Lion Air
AMQ,Ambon,Indonesia,AMQ,SXK,592,100,Wings Air
AMQ,Ambon,Indonesia,AMQ,NAM,121,40,Wings Air
AMQ,Ambon,Indonesia,AMQ,DOB,716,115,Wings Air
AMQ,Ambon,Indonesia,AMQ,JIO,490,80,Trigana Air
AMQ,Ambon,Indonesia,AMQ,LUV,557,70,Lion Air
AMQ,Ambon,Indonesia,AMQ,NRE,154,30,Trigana Air
AMQ,Ambon,Indonesia,AMQ,SQN,295,50,Trigana Air
AOG,Anshan,China,AOG,TFU,2044,220,Sichuan Airlines
AOG,Anshan,China,AOG,PVG,1109,165,Shanghai Airlines
AOJ,Aomori,Japan,AOJ,ITM,805,95,"JAL, ANA"
AOJ,Aomori,Japan,AOJ,HND,581,80,JAL
AOJ,Aomori,Japan,AOJ,CTS,242,50,"JAL, ANA"
AOJ,Aomori,Japan,AOJ,NKM,692,90,Fuji Dream Airlines
AOJ,Aomori,Japan,AOJ,UKB,830,108,Fuji Dream Airlines
AOJ,Aomori,Japan,AOJ,TPE,2504,270,EVA Air
AOJ,Aomori,Japan,AOJ,ICN,1283,155,Korean Air
AOR,Alor Setar,Malaysia,AOR,KUL,408,75,"AirAsia, Malaysia Airlines, Batik Air Malaysia"
AOR,Alor Setar,Malaysia,AOR,SZB,362,70,Firefly
AOR,Alor Setar,Malaysia,AOR,JHB,620,78,AirAsia
AQG,Anqing,China,AQG,CAN,879,115,China Southern Airlines
AQG,Anqing,China,AQG,PEK,1054,120,Hainan Airlines
AQG,Anqing,China,AQG,HAK,1352,150,Hainan Airlines
AQG,Anqing,China,AQG,TFU,1210,145,Chengdu Airlines
AQG,Anqing,China,AQG,KMG,1516,155,Lucky Air
AQG,Anqing,China,AQG,NGB,432,75,Lucky Air
AQG,Anqing,China,AQG,XIY,888,125,Tianjin Airlines
AQG,Anqing,China,AQG,XMN,677,95,Tianjin Airlines
AQG,Anqing,China,AQG,WNZ,472,75,Chengdu Airlines
AQG,Anqing,China,AQG,KWE,1098,140,Tianjin Airlines
AQG,Anqing,China,AQG,TSN,948,125,Okay Airways
AQG,Anqing,China,AQG,SZX,937,125,Okay Airways
AQG,Anqing,China,AQG,TAO,700,85,Tianjin Airlines
AQI,Qaisumah,Saudi Arabia,AQI,RUH,378,70,Saudia
AQI,Qaisumah,Saudi Arabia,AQI,JED,1019,130,Saudia
AQI,Qaisumah,Saudi Arabia,AQI,DXB,980,110,flydubai
AQJ,Aqaba,Jordan,AQJ,AMM,251,50,"Royal Jordanian, Edelweiss Air, Turkish Airlines"
AQJ,Aqaba,Jordan,AQJ,AUH,2027,190,Intercontinental Airways (Gambia)
AQJ,Aqaba,Jordan,AQJ,IST,1411,170,Turkish Airlines
ARD,Alor Island,Indonesia,ARD,KOE,247,60,Wings Air
ASB,Ashgabat,Turkmenistan,ASB,TAZ,437,50,Turkmenistan Airlines
ASB,Ashgabat,Turkmenistan,ASB,CRZ,472,50,Turkmenistan Airlines
ASB,Ashgabat,Turkmenistan,ASB,IST,2556,250,"Turkmenistan Airlines, Turkish Airlines"
ASB,Ashgabat,Turkmenistan,ASB,KRW,517,60,Turkmenistan Airlines
ASB,Ashgabat,Turkmenistan,ASB,MYP,306,40,Turkmenistan Airlines
ASB,Ashgabat,Turkmenistan,ASB,KEA,595,60,Turkmenistan Airlines
ASB,Ashgabat,Turkmenistan,ASB,DXB,1439,170,"flydubai, Turkmenistan Airlines"
ASB,Ashgabat,Turkmenistan,ASB,DEL,2028,220,Turkmenistan Airlines
