,city_name,continent,country,country_code,display_name,elevation,iata,icao,latitude,longitude,name,routes,timezone
DZN,Zhezkazgan,AS,Kazakhstan,KZ,"Zhezkazgan (DZN), Kazakhstan",1250.0,DZN,UAKD,47.7,67.733333,Zhezkazgan Airport,"[{'carriers': [{'iata': 'IQ', 'name': 'Qazaq Air'}], 'iata': 'CIT', 'km': 608, 'min': 80}, {'carriers': [{'iata': 'IQ', 'name': 'Qazaq Air'}], 'iata': 'NQZ', 'km': 458, 'min': 65}, {'carriers': [{'iata': 'DV', 'name': 'SCAT Airlines'}], 'iata': 'ALA', 'km': 871, 'min': 80}]",Asia/Almaty
EAM,Nejran,AS,Saudi Arabia,SA,"Nejran (EAM), Saudi Arabia",3982.0,EAM,OENG,17.613282,44.414646,Nejran Airport,"[{'carriers': [{'iata': 'SV', 'name': 'Saudia'}, {'iata': 'XY', 'name': 'Flynas'}, {'iata': 'F3', 'name': 'Flyadeal'}], 'iata': 'RUH', 'km': 847, 'min': 110}, {'carriers': [{'iata': 'SV', 'name': 'Saudia'}, {'iata': 'XY', 'name': 'Flynas'}], 'iata': 'JED', 'km': 711, 'min': 95}, {'carriers': [{'iata': 'XY', 'name': 'Flynas'}], 'iata': 'DMM', 'km': 1126, 'min': 120}, {'carriers': [{'iata': 'FZ', 'name': 'flydubai'}], 'iata': 'DXB', 'km': 1414, 'min': 165}]",Asia/Riyadh
EBL,Erbil,AS,Iraq,IQ,"Erbil (EBL), Iraq",1341.0,EBL,ORER,36.2375,43.963056,Erbil Intl,"[{'carriers': [{'iata': 'TK', 'name': 'Turkish Airlines'}, {'iata': 'IA', 'name': 'Iraqi Airways'}, {'iata': 'UD', 'name': ""Hex'Air""}], 'iata': 'IST', 'km': 1433, 'min': 170}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'IA', 'name': 'Iraqi Airways'}, {'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'SAW', 'km': 1375, 'min': 155}, {'carriers': [{'iata': 'IA', 'name': 'Iraqi Airways'}], 'iata': 'BGW', 'km': 331, 'min': 60}, {'carriers': [{'iata': 'RJ', 'name': 'Royal Jordanian'}, {'iata': 'IA', 'name': 'Iraqi Airways'}], 'iata': 'AMM', 'km': 890, 'min': 120}, {'carriers': [{'iata': 'FZ', 'name': 'flydubai'}, {'iata': 'IA', 'name': 'Iraqi Airways'}], 'iata': 'DXB', 'km': 1632, 'min': 165}, {'carriers': [{'iata': 'ME', 'name': 'Middle East Airlines'}, {'iata': 'UD', 'name': ""Hex'Air""}, {'iata': 'IA', 'name': 'Iraqi Airways'}], 'iata': 'BEY', 'km': 817, 'min': 115}, {'carriers': [{'iata': 'IA', 'name': 'Iraqi Airways'}], 'iata': 'BSR', 'km': 718, 'min': 75}, {'carriers': [{'iata': 'QR', 'name': 'Qatar Airways'}], 'iata': 'DOH', 'km': 1419, 'min': 145}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}], 'iata': 'ESB', 'km': 1052, 'min': 120}, {'carriers': [{'iata': 'G9', 'name': 'Air Arabia'}], 'iata': 'SHJ', 'km': 1637, 'min': 155}, {'carriers': [{'iata': 'UD', 'name': ""Hex'Air""}], 'iata': 'DAM', 'km': 749, 'min': 90}, {'carriers': [{'iata': 'W5', 'name': 'Mahan Air'}], 'iata': 'IKA', 'km': 656, 'min': 85}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'UD', 'name': ""Hex'Air""}, {'iata': 'IA', 'name': 'Iraqi Airways'}], 'iata': 'AYT', 'km': 1179, 'min': 140}, {'carriers': [{'iata': '5W', 'name': 'Intercontinental Airways (Gambia)'}], 'iata': 'AUH', 'km': 1661, 'min': 160}, {'carriers': [{'iata': 'XY', 'name': 'Flynas'}, {'iata': 'SV', 'name': 'Saudia'}], 'iata': 'JED', 'km': 1680, 'min': 160}, {'carriers': [{'iata': 'UD', 'name': ""Hex'Air""}], 'iata': 'TZX', 'km': 641, 'min': 90}, {'carriers': [{'iata': 'UD', 'name': ""Hex'Air""}], 'iata': 'EVN', 'km': 436, 'min': 75}, {'carriers': [{'iata': 'IA', 'name': 'Iraqi Airways'}], 'iata': 'BUS', 'km': 630, 'min': 90}, {'carriers': [{'iata': 'IA', 'name': 'Iraqi Airways'}], 'iata': 'TBS', 'km': 609, 'min': 120}]",Asia/Baghdad
ECN,Ercan,AS,Cyprus,CY,"Ercan (ECN), Cyprus",380.0,ECN,LCEN,35.158118,33.50307,Ercan International Airport,"[{'carriers': [{'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'SAW', 'km': 736, 'min': 95}, {'carriers': [{'iata': 'TK', 'name': 'Turkish Airlines'}], 'iata': 'IST', 'km': 795, 'min': 110}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'ESB', 'km': 551, 'min': 85}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'TK', 'name': 'Turkish Airlines'}, {'iata': 'XQ', 'name': 'SunExpress'}], 'iata': 'AYT', 'km': 310, 'min': 60}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'XQ', 'name': 'SunExpress'}], 'iata': 'ADB', 'km': 665, 'min': 95}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}], 'iata': 'GZT', 'km': 409, 'min': 65}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}], 'iata': 'DIY', 'km': 672, 'min': 80}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}], 'iata': 'ASR', 'km': 438, 'min': 65}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'TZX', 'km': 849, 'min': 95}]",Asia/Famagusta
EDO,Edremit,AS,Turkiye,TR,"Edremit (EDO), Turkiye",40.0,EDO,LTFD,39.549267,27.011319,Edremit,"[{'carriers': [{'iata': 'TK', 'name': 'Turkish Airlines'}], 'iata': 'IST', 'km': 240, 'min': 75}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}], 'iata': 'SAW', 'km': 246, 'min': 60}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'ESB', 'km': 515, 'min': 75}]",Europe/Istanbul
EHU,Ezhou,AS,China,CN,"Ezhou (EHU), China",86.0,EHU,ZHEC,30.3427,115.0297,Ezhou Huahu Airport,"[{'carriers': [{'iata': 'MU', 'name': 'China Eastern Airlines'}], 'iata': 'PVG', 'km': 654, 'min': 83}, {'carriers': [{'iata': 'MU', 'name': 'China Eastern Airlines'}, {'iata': 'G5', 'name': 'Gestair'}], 'iata': 'TFU', 'km': 1017, 'min': 123}, {'carriers': [{'iata': 'AQ', 'name': '9 Air Co'}], 'iata': 'KWE', 'km': 909, 'min': 90}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'CKG', 'km': 811, 'min': 110}, {'carriers': [{'iata': 'DR', 'name': 'Ruili Airlines'}], 'iata': 'TNA', 'km': 750, 'min': 145}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'WNZ', 'km': 626, 'min': 75}, {'carriers': [{'iata': 'BK', 'name': 'Okay Airways'}], 'iata': 'TSN', 'km': 997, 'min': 135}, {'carriers': [{'iata': 'BK', 'name': 'Okay Airways'}], 'iata': 'SZX', 'km': 862, 'min': 120}, {'carriers': [{'iata': 'GX', 'name': 'Guangxi Beibu Gulf Airlines'}], 'iata': 'HAK', 'km': 1241, 'min': 140}, {'carriers': [{'iata': 'MU', 'name': 'China Eastern Airlines'}], 'iata': 'JJN', 'km': 707, 'min': 75}, {'carriers': [{'iata': 'DR', 'name': 'Ruili Airlines'}], 'iata': 'KMG', 'km': 1325, 'min': 145}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'PKX', 'km': 1024, 'min': 125}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'XMN', 'km': 712, 'min': 95}]",Asia/Shanghai
ELQ,Gassim,AS,Saudi Arabia,SA,"Gassim (ELQ), Saudi Arabia",2126.0,ELQ,OEGS,26.305029,43.768178,Gassim,"[{'carriers': [{'iata': 'F3', 'name': 'Flyadeal'}, {'iata': 'SV', 'name': 'Saudia'}], 'iata': 'JED', 'km': 695, 'min': 100}, {'carriers': [{'iata': 'SV', 'name': 'Saudia'}], 'iata': 'RUH', 'km': 330, 'min': 65}, {'carriers': [{'iata': 'G9', 'name': 'Air Arabia'}], 'iata': 'SHJ', 'km': 1183, 'min': 110}, {'carriers': [{'iata': 'XY', 'name': 'Flynas'}, {'iata': 'F3', 'name': 'Flyadeal'}], 'iata': 'DMM', 'km': 601, 'min': 75}, {'carriers': [{'iata': 'FZ', 'name': 'flydubai'}], 'iata': 'DXB', 'km': 1168, 'min': 125}, {'carriers': [{'iata': 'GF', 'name': 'Gulf Air'}], 'iata': 'BAH', 'km': 684, 'min': 75}, {'carriers': [{'iata': 'EY', 'name': 'Etihad Airways'}], 'iata': 'AUH', 'km': 1114, 'min': 125}, {'carriers': [{'iata': 'QR', 'name': 'Qatar Airways'}], 'iata': 'DOH', 'km': 795, 'min': 90}, {'carriers': [{'iata': 'J9', 'name': 'Jazeera Airways'}], 'iata': 'KWI', 'km': 526, 'min': 70}, {'carriers': [{'iata': 'PK', 'name': 'Pakistan International Airlines'}], 'iata': 'ISB', 'km': 2907, 'min': 260}, {'carriers': [{'iata': 'PK', 'name': 'Pakistan International Airlines'}], 'iata': 'MUX', 'km': 2740, 'min': 245}]",Asia/Riyadh
ENE,Ende,AS,Indonesia,ID,"Ende (ENE), Indonesia",45.0,ENE,WATE,-8.848239,121.664653,H Hasan Aroeboesman,"[{'carriers': [{'iata': 'IW', 'name': 'Wings Air'}], 'iata': 'KOE', 'km': 263, 'min': 55}, {'carriers': [{'iata': 'IW', 'name': 'Wings Air'}], 'iata': 'LBJ', 'km': 199, 'min': 50}]",Asia/Makassar
ENH,Enshi,AS,China,CN,"Enshi (ENH), China",1618.0,ENH,ZHES,30.321934,109.482012,Enshi Airport,"[{'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}, {'iata': 'MU', 'name': 'China Eastern Airlines'}, {'iata': 'G5', 'name': 'Gestair'}], 'iata': 'WUH', 'km': 457, 'min': 70}, {'carriers': [{'iata': 'GJ', 'name': 'Loong Air'}, {'iata': 'JD', 'name': 'Beijing Capital Airlines'}], 'iata': 'HGH', 'km': 1053, 'min': 123}, {'carriers': [{'iata': 'GJ', 'name': 'Loong Air'}, {'iata': 'JD', 'name': 'Beijing Capital Airlines'}], 'iata': 'XIY', 'km': 461, 'min': 83}, {'carriers': [{'iata': '9C', 'name': 'Spring Airlines'}], 'iata': 'PVG', 'km': 1183, 'min': 130}, {'carriers': [{'iata': 'MU', 'name': 'China Eastern Airlines'}], 'iata': 'KWE', 'km': 494, 'min': 75}, {'carriers': [{'iata': 'GJ', 'name': 'Loong Air'}], 'iata': 'SZX', 'km': 954, 'min': 133}, {'carriers': [{'iata': 'MU', 'name': 'China Eastern Airlines'}], 'iata': 'PKX', 'km': 1198, 'min': 130}, {'carriers': [{'iata': 'GJ', 'name': 'Loong Air'}], 'iata': 'TYN', 'km': 873, 'min': 100}, {'carriers': [{'iata': 'MU', 'name': 'China Eastern Airlines'}], 'iata': 'WNZ', 'km': 1137, 'min': 130}, {'carriers': [{'iata': 'GJ', 'name': 'Loong Air'}], 'iata': 'XNN', 'km': 975, 'min': 130}, {'carriers': [{'iata': 'MU', 'name': 'China Eastern Airlines'}], 'iata': 'INC', 'km': 931, 'min': 110}, {'carriers': [{'iata': 'MU', 'name': 'China Eastern Airlines'}], 'iata': 'KHN', 'km': 643, 'min': 110}, {'carriers': [{'iata': 'GJ', 'name': 'Loong Air'}], 'iata': 'LHW', 'km': 876, 'min': 115}, {'carriers': [{'iata': 'GJ', 'name': 'Loong Air'}], 'iata': 'CAN', 'km': 856, 'min': 110}, {'carriers': [{'iata': 'DR', 'name': 'Ruili Airlines'}], 'iata': 'KMG', 'km': 866, 'min': 115}, {'carriers': [{'iata': 'DR', 'name': 'Ruili Airlines'}], 'iata': 'TSN', 'km': 1213, 'min': 148}, {'carriers': [{'iata': 'JD', 'name': 'Beijing Capital Airlines'}], 'iata': 'NKG', 'km': 909, 'min': 100}, {'carriers': [{'iata': 'JD', 'name': 'Beijing Capital Airlines'}], 'iata': 'HAK', 'km': 1154, 'min': 115}, {'carriers': [{'iata': '9C', 'name': 'Spring Airlines'}], 'iata': 'TFU', 'km': 484, 'min': 85}, {'carriers': [{'iata': '9C', 'name': 'Spring Airlines'}], 'iata': 'TNA', 'km': 1018, 'min': 125}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'HET', 'km': 1187, 'min': 125}]",Asia/Shanghai
ENI,El Nido,AS,Philippines,PH,"El Nido (ENI), Philippines",9.0,ENI,,11.203469,119.413979,El Nido Airport,"[{'carriers': [{'iata': 'T6', 'name': 'AirSWIFT'}], 'iata': 'MNL', 'km': 405, 'min': 90}, {'carriers': [{'iata': 'T6', 'name': 'AirSWIFT'}], 'iata': 'CRK', 'km': 457, 'min': 85}, {'carriers': [{'iata': 'T6', 'name': 'AirSWIFT'}], 'iata': 'MPH', 'km': 288, 'min': 65}, {'carriers': [{'iata': 'T6', 'name': 'AirSWIFT'}], 'iata': 'CEB', 'km': 509, 'min': 100}, {'carriers': [{'iata': 'T6', 'name': 'AirSWIFT'}], 'iata': 'USU', 'km': 128, 'min': 40}, {'carriers': [{'iata': 'T6', 'name': 'AirSWIFT'}], 'iata': 'TAG', 'km': 509, 'min': 100}]",Asia/Manila
ENY,Yan'an,AS,China,CN,"Yan'an (ENY), China",4070.0,ENY,ZLYA,36.479722,109.463889,Nanniwan Airport,"[{'carriers': [{'iata': 'CA', 'name': 'Air China'}], 'iata': 'PEK', 'km': 739, 'min': 135}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'HET', 'km': 526, 'min': 85}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'CKG', 'km': 794, 'min': 105}, {'carriers': [{'iata': 'MU', 'name': 'China Eastern Airlines'}], 'iata': 'XIY', 'km': 235, 'min': 55}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'TSN', 'km': 754, 'min': 93}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'NKG', 'km': 1013, 'min': 130}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'KMG', 'km': 1406, 'min': 158}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'KWE', 'km': 1130, 'min': 130}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'DSN', 'km': 336, 'min': 50}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'SHE', 'km': 1339, 'min': 135}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}, {'iata': 'MF', 'name': 'Xiamen Airlines'}], 'iata': 'CSX', 'km': 984, 'min': 125}, {'carriers': [{'iata': '9C', 'name': 'Spring Airlines'}], 'iata': 'PVG', 'km': 1285, 'min': 160}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'SYX', 'km': 2014, 'min': 195}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'TYN', 'km': 314, 'min': 55}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'INC', 'km': 340, 'min': 60}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'CAN', 'km': 1497, 'min': 185}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'SZX', 'km': 1590, 'min': 185}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'CGO', 'km': 452, 'min': 80}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'TFU', 'km': 827, 'min': 120}]",Asia/Shanghai
ERC,Erzincan,AS,Turkiye,TR,"Erzincan (ERC), Turkiye",3783.0,ERC,LTCD,39.711667,39.516944,Erzincan,"[{'carriers': [{'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'SAW', 'km': 877, 'min': 110}, {'carriers': [{'iata': 'TK', 'name': 'Turkish Airlines'}], 'iata': 'IST', 'km': 928, 'min': 125}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'ESB', 'km': 559, 'min': 85}]",Europe/Istanbul
ERL,Eren Hot,AS,China,CN,"Eren Hot (ERL), China",3280.0,ERL,,43.426673,112.09845,Eren Hot Airport,"[{'carriers': [{'iata': 'G5', 'name': 'Gestair'}, {'iata': '9D', 'name': 'Genghis Khan Airlines'}], 'iata': 'HET', 'km': 286, 'min': 53}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'CIF', 'km': 568, 'min': 75}, {'carriers': [{'iata': 'KN', 'name': 'China United Airlines'}], 'iata': 'PKX', 'km': 564, 'min': 90}, {'carriers': [{'iata': '9D', 'name': 'Genghis Khan Airlines'}], 'iata': 'TGO', 'km': 817, 'min': 110}, {'carriers': [{'iata': '9D', 'name': 'Genghis Khan Airlines'}], 'iata': 'XIL', 'km': 316, 'min': 60}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'BAV', 'km': 362, 'min': 60}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'NZH', 'km': 791, 'min': 95}]",Asia/Shanghai
ERZ,Erzurum,AS,Turkiye,TR,"Erzurum (ERZ), Turkiye",5764.0,ERZ,LTCE,39.961346,41.179378,Erzurum,"[{'carriers': [{'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'SAW', 'km': 1011, 'min': 125}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'ESB', 'km': 698, 'min': 95}, {'carriers': [{'iata': 'TK', 'name': 'Turkish Airlines'}], 'iata': 'IST', 'km': 1061, 'min': 135}, {'carriers': [{'iata': 'XQ', 'name': 'SunExpress'}], 'iata': 'ADB', 'km': 1226, 'min': 135}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'YEI', 'km': 991, 'min': 110}, {'carriers': [{'iata': 'XQ', 'name': 'SunExpress'}], 'iata': 'AYT', 'km': 967, 'min': 115}]",Europe/Istanbul
ESB,Ankara,AS,Turkiye,TR,"Ankara (ESB), Turkiye",3125.0,ESB,LTAC,40.114941,32.993145,Ankara Esenboğa Airport,"[{'carriers': [{'iata': 'TK', 'name': 'Turkish Airlines'}], 'iata': 'IST', 'km': 381, 'min': 80}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'SAW', 'km': 324, 'min': 65}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'AYT', 'km': 404, 'min': 75}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'ADB', 'km': 543, 'min': 80}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'ECN', 'km': 551, 'min': 75}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'BJV', 'km': 561, 'min': 80}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'TZX', 'km': 583, 'min': 80}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'DLM', 'km': 526, 'min': 80}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'DIY', 'km': 669, 'min': 85}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'GZT', 'km': 525, 'min': 75}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'VAN', 'km': 910, 'min': 100}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'ERZ', 'km': 698, 'min': 80}, {'carriers': [{'iata': 'W5', 'name': 'Mahan Air'}, {'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'TK', 'name': 'Turkish Airlines'}, {'iata': 'IS', 'name': 'AIS Airlines'}], 'iata': 'IKA', 'km': 1679, 'min': 155}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'EZS', 'km': 566, 'min': 75}, {'carriers': [{'iata': 'J2', 'name': 'AZAL Azerbaijan Airlines'}, {'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'GYD', 'km': 1448, 'min': 150}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'BAL', 'km': 741, 'min': 90}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'MLX', 'km': 494, 'min': 80}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'AMM', 'km': 969, 'min': 160}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'KSY', 'km': 858, 'min': 105}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'AJI', 'km': 859, 'min': 100}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'CKZ', 'km': 559, 'min': 90}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}], 'iata': 'EBL', 'km': 1052, 'min': 120}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'ERC', 'km': 559, 'min': 85}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'HTY', 'km': 506, 'min': 75}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'MSR', 'km': 758, 'min': 90}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'SZF', 'km': 326, 'min': 60}, {'carriers': [{'iata': 'IA', 'name': 'Iraqi Airways'}], 'iata': 'BGW', 'km': 1258, 'min': 150}, {'carriers': [{'iata': 'QR', 'name': 'Qatar Airways'}], 'iata': 'DOH', 'km': 2390, 'min': 220}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'GZP', 'km': 427, 'min': 75}, {'carriers': [{'iata': 'IA', 'name': 'Iraqi Airways'}], 'iata': 'KIK', 'km': 1116, 'min': 120}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'KCM', 'km': 447, 'min': 70}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'ALA', 'km': 3639, 'min': 300}, {'carriers': [{'iata': '5W', 'name': 'Intercontinental Airways (Gambia)'}], 'iata': 'AUH', 'km': 2667, 'min': 245}, {'carriers': [{'iata': 'HY', 'name': 'Uzbekistan Airways'}, {'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'TAS', 'km': 3047, 'min': 248}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'EDO', 'km': 515, 'min': 90}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}], 'iata': 'TBS', 'km': 1022, 'min': 105}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'BEY', 'km': 732, 'min': 80}, {'carriers': [{'iata': 'FZ', 'name': 'flydubai'}, {'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'DXB', 'km': 2654, 'min': 235}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'FRU', 'km': 3438, 'min': 285}, {'carriers': [{'iata': 'SV', 'name': 'Saudia'}, {'iata': 'TK', 'name': 'Turkish Airlines'}, {'iata': 'PC', 'name': 'Pegasus'}], 'iata': 'JED', 'km': 2126, 'min': 230}, {'carriers': [{'iata': 'FG', 'name': 'Ariana Afghan Airlines'}], 'iata': 'KBL', 'km': 3245, 'min': 330}, {'carriers': [{'iata': 'SV', 'name': 'Saudia'}, {'iata': 'TK', 'name': 'Turkish Airlines'}, {'iata': 'PC', 'name': 'Pegasus'}], 'iata': 'MED', 'km': 1837, 'min': 200}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'NQZ', 'km': 3193, 'min': 270}]",Europe/Istanbul
EUQ,Antique,AS,Philippines,PH,"Antique (EUQ), Philippines",26.0,EUQ,RPVS,10.767873,121.932971,Evelio Javier  Airport,"[{'carriers': [{'iata': 'PR', 'name': 'Philippine Airlines'}], 'iata': 'MNL', 'km': 425, 'min': 80}]",Asia/Manila
EVN,Yerevan,AS,Armenia,AM,"Yerevan (EVN), Armenia",2838.0,EVN,UDYZ,40.15272,44.39805,Zvartnots International Airport,"[{'carriers': [{'iata': 'B9', 'name': 'Iran Airtour'}, {'iata': '6A', 'name': 'Armenia Airways'}, {'iata': 'IS', 'name': 'AIS Airlines'}], 'iata': 'IKA', 'km': 794, 'min': 115}, {'carriers': [{'iata': 'A9', 'name': 'Georgian Airways'}, {'iata': 'RM', 'name': 'Armenia Aircompany'}], 'iata': 'TBS', 'km': 175, 'min': 30}, {'carriers': [{'iata': '5W', 'name': 'Intercontinental Airways (Gambia)'}], 'iata': 'AUH', 'km': 1989, 'min': 195}, {'carriers': [{'iata': 'W6', 'name': 'Wizz Air'}], 'iata': 'LCA', 'km': 1118, 'min': 140}, {'carriers': [{'iata': 'G9', 'name': 'Air Arabia'}], 'iata': 'SHJ', 'km': 1943, 'min': 175}, {'carriers': [{'iata': 'QR', 'name': 'Qatar Airways'}], 'iata': 'DOH', 'km': 1783, 'min': 180}, {'carriers': [{'iata': 'FZ', 'name': 'flydubai'}], 'iata': 'DXB', 'km': 1942, 'min': 185}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}], 'iata': 'SAW', 'km': 1279, 'min': 150}, {'carriers': [{'iata': 'ME', 'name': 'Middle East Airlines'}], 'iata': 'BEY', 'km': 1057, 'min': 120}, {'carriers': [{'iata': 'DV', 'name': 'SCAT Airlines'}], 'iata': 'SCO', 'km': 689, 'min': 60}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'URC', 'km': 3551, 'min': 305}, {'carriers': [{'iata': 'UD', 'name': ""Hex'Air""}, {'iata': 'IA', 'name': 'Iraqi Airways'}], 'iata': 'BGW', 'km': 765, 'min': 98}, {'carriers': [], 'iata': 'ALP', 'km': 766, 'min': 180}, {'carriers': [{'iata': 'UD', 'name': ""Hex'Air""}], 'iata': 'EBL', 'km': 436, 'min': 70}]",Asia/Yerevan
EWE,Ewer,AS,Indonesia,ID,"Ewer (EWE), Indonesia",0.0,EWE,WAKG,-5.483333,138.083333,Ewer,"[{'carriers': [{'iata': 'IW', 'name': 'Wings Air'}], 'iata': 'TIM', 'km': 169, 'min': 45}, {'carriers': [{'iata': 'IL', 'name': 'Trigana Air'}], 'iata': 'MKQ', 'km': 423, 'min': 60}]",Asia/Jayapura
