,city_name,continent,country,country_code,display_name,elevation,iata,icao,latitude,longitude,name,routes,timezone
ACZ,Zabol,AS,Iran,IR,"Zabol (ACZ), Iran",1628.0,ACZ,OIZB,31.087694,61.542245,Zabol Airport,"[{'carriers': [{'iata': 'QB', 'name': 'Qeshm Air'}, {'iata': 'W5', 'name': 'Mahan Air'}], 'iata': 'MHD', 'km': 597, 'min': 65}, {'carriers': [{'iata': 'W5', 'name': 'Mahan Air'}], 'iata': 'THR', 'km': 1078, 'min': 135}]",Asia/Tehran
ADA,Adana,AS,Turkiye,TR,"Adana (ADA), Turkiye",54.0,ADA,LTAF,36.982185,35.280391,Adana,"[{'carriers': [{'iata': 'QR', 'name': 'Qatar Airways'}], 'iata': 'DOH', 'km': 2023, 'min': 205}]",Europe/Istanbul
ADB,Izmir,AS,Turkiye,TR,"Izmir (ADB), Turkiye",412.0,ADB,LTBJ,38.294403,27.147594,İzmir Adnan Menderes Airport,"[{'carriers': [{'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'TK', 'name': 'Turkish Airlines'}], 'iata': 'IST', 'km': 356, 'min': 85}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'SAW', 'km': 344, 'min': 70}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'ESB', 'km': 543, 'min': 85}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'XQ', 'name': 'SunExpress'}], 'iata': 'ECN', 'km': 665, 'min': 80}, {'carriers': [{'iata': 'XQ', 'name': 'SunExpress'}, {'iata': 'OR', 'name': 'TUIfly Netherlands'}, {'iata': 'LG', 'name': 'Luxair'}], 'iata': 'AYT', 'km': 357, 'min': 65}, {'carriers': [{'iata': 'XQ', 'name': 'SunExpress'}], 'iata': 'GZT', 'km': 923, 'min': 100}, {'carriers': [{'iata': 'XQ', 'name': 'SunExpress'}], 'iata': 'DIY', 'km': 1144, 'min': 115}, {'carriers': [{'iata': 'J2', 'name': 'AZAL Azerbaijan Airlines'}, {'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'GYD', 'km': 1982, 'min': 180}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'XQ', 'name': 'SunExpress'}], 'iata': 'ASR', 'km': 729, 'min': 88}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'XQ', 'name': 'SunExpress'}], 'iata': 'TZX', 'km': 1123, 'min': 115}, {'carriers': [{'iata': 'XQ', 'name': 'SunExpress'}], 'iata': 'SZF', 'km': 869, 'min': 95}, {'carriers': [{'iata': 'XQ', 'name': 'SunExpress'}], 'iata': 'VAN', 'km': 1412, 'min': 125}, {'carriers': [{'iata': 'XQ', 'name': 'SunExpress'}], 'iata': 'BEY', 'km': 900, 'min': 95}, {'carriers': [{'iata': 'B9', 'name': 'Iran Airtour'}], 'iata': 'IKA', 'km': 2158, 'min': 195}, {'carriers': [{'iata': 'XQ', 'name': 'SunExpress'}], 'iata': 'MLX', 'km': 970, 'min': 105}, {'carriers': [{'iata': 'XQ', 'name': 'SunExpress'}], 'iata': 'ERZ', 'km': 1226, 'min': 120}, {'carriers': [{'iata': 'XQ', 'name': 'SunExpress'}], 'iata': 'KYA', 'km': 475, 'min': 70}, {'carriers': [{'iata': 'XQ', 'name': 'SunExpress'}], 'iata': 'AUH', 'km': 3016, 'min': 275}, {'carriers': [{'iata': 'XQ', 'name': 'SunExpress'}], 'iata': 'TBS', 'km': 1563, 'min': 145}, {'carriers': [{'iata': 'XQ', 'name': 'SunExpress'}], 'iata': 'SKD', 'km': 3426, 'min': 273}, {'carriers': [{'iata': 'PC', 'name': 'Pegasus'}, {'iata': 'XQ', 'name': 'SunExpress'}], 'iata': 'EZS', 'km': 1057, 'min': 110}, {'carriers': [{'iata': 'XQ', 'name': 'SunExpress'}], 'iata': 'KSY', 'km': 1393, 'min': 130}, {'carriers': [{'iata': 'B9', 'name': 'Iran Airtour'}], 'iata': 'TBZ', 'km': 1669, 'min': 150}, {'carriers': [{'iata': 'XQ', 'name': 'SunExpress'}], 'iata': 'DXB', 'km': 3021, 'min': 278}, {'carriers': [{'iata': 'SV', 'name': 'Saudia'}], 'iata': 'JED', 'km': 2172, 'min': 215}]",Europe/Istanbul
ADE,Aden,AS,Republic of Yemen,YE,"Aden (ADE), Republic of Yemen",12.0,ADE,OYAA,12.826116,45.037535,Aden Intl,"[{'carriers': [{'iata': 'IY', 'name': 'Yemenia'}], 'iata': 'JED', 'km': 1161, 'min': 120}, {'carriers': [{'iata': 'IY', 'name': 'Yemenia'}], 'iata': 'RIY', 'km': 511, 'min': 60}, {'carriers': [{'iata': 'IY', 'name': 'Yemenia'}], 'iata': 'RUH', 'km': 1354, 'min': 120}, {'carriers': [{'iata': 'IY', 'name': 'Yemenia'}], 'iata': 'AMM', 'km': 2288, 'min': 210}, {'carriers': [{'iata': 'IY', 'name': 'Yemenia'}], 'iata': 'GXF', 'km': 532, 'min': 60}, {'carriers': [{'iata': 'IY', 'name': 'Yemenia'}], 'iata': 'AAY', 'km': 854, 'min': 90}, {'carriers': [{'iata': 'IY', 'name': 'Yemenia'}], 'iata': 'SCT', 'km': 963, 'min': 90}, {'carriers': [{'iata': 'IY', 'name': 'Yemenia'}], 'iata': 'KWI', 'km': 1842, 'min': 180}, {'carriers': [{'iata': 'IY', 'name': 'Yemenia'}], 'iata': 'BOM', 'km': 3054, 'min': 240}]",Asia/Aden
ADU,Ardabil,AS,Iran,IR,"Ardabil (ADU), Iran",4317.0,ADU,OITL,38.323826,48.42125,Ardabil Airport,"[{'carriers': [{'iata': 'EP', 'name': 'Iran Aseman Airlines'}, {'iata': 'IR', 'name': 'Iran Air'}, {'iata': 'W5', 'name': 'Mahan Air'}], 'iata': 'THR', 'km': 389, 'min': 60}]",Asia/Tehran
AEB,Baise,AS,China,CN,"Baise (AEB), China",480.0,AEB,ZGBS,23.719469,106.967772,Tianyang,"[{'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'CSX', 'km': 797, 'min': 110}, {'carriers': [{'iata': 'MU', 'name': 'China Eastern Airlines'}], 'iata': 'CKG', 'km': 665, 'min': 90}, {'carriers': [{'iata': 'GX', 'name': 'Guangxi Beibu Gulf Airlines'}], 'iata': 'NNG', 'km': 173, 'min': 120}]",Asia/Shanghai
AEU,Abu Musa,AS,Iran,IR,"Abu Musa (AEU), Iran",17.0,AEU,OIBA,25.875475,55.033913,Abu Musa Airport,"[{'carriers': [{'iata': 'IR', 'name': 'Iran Air'}], 'iata': 'BND', 'km': 198, 'min': 65}]",Asia/Tehran
AGR,Agra,AS,India,IN,"Agra (AGR), India",551.0,AGR,VIAG,27.158333,77.962778,Agra,"[{'carriers': [{'iata': '6E', 'name': 'IndiGo'}], 'iata': 'LKO', 'km': 293, 'min': 75}, {'carriers': [{'iata': '6E', 'name': 'IndiGo'}], 'iata': 'BLR', 'km': 1545, 'min': 140}, {'carriers': [{'iata': '6E', 'name': 'IndiGo'}], 'iata': 'BOM', 'km': 1034, 'min': 115}, {'carriers': [{'iata': '6E', 'name': 'IndiGo'}], 'iata': 'HYD', 'km': 1100, 'min': 120}]",Asia/Kolkata
AGX,Agatti Island,AS,India,IN,"Agatti Island (AGX), India",13.0,AGX,VOAT,10.828967,72.179874,Agatti Island Airport,"[{'carriers': [{'iata': '9I', 'name': 'Air India'}, {'iata': '6E', 'name': 'IndiGo'}], 'iata': 'COK', 'km': 466, 'min': 85}, {'carriers': [{'iata': '6E', 'name': 'IndiGo'}], 'iata': 'BLR', 'km': 656, 'min': 120}, {'carriers': [{'iata': 'IC', 'name': 'Indian Airlines'}], 'iata': 'GOX', 'km': 572, 'min': 115}]",Asia/Kolkata
AHB,Abha,AS,Saudi Arabia,SA,"Abha (AHB), Saudi Arabia",6858.0,AHB,OEAB,18.23429,42.657575,Abha,"[{'carriers': [{'iata': 'SV', 'name': 'Saudia'}, {'iata': 'XY', 'name': 'Flynas'}, {'iata': 'F3', 'name': 'Flyadeal'}], 'iata': 'RUH', 'km': 854, 'min': 105}, {'carriers': [{'iata': 'SV', 'name': 'Saudia'}, {'iata': 'XY', 'name': 'Flynas'}, {'iata': 'F3', 'name': 'Flyadeal'}], 'iata': 'JED', 'km': 528, 'min': 80}, {'carriers': [{'iata': 'XY', 'name': 'Flynas'}, {'iata': 'F3', 'name': 'Flyadeal'}], 'iata': 'DMM', 'km': 1171, 'min': 120}, {'carriers': [{'iata': 'FZ', 'name': 'flydubai'}], 'iata': 'DXB', 'km': 1526, 'min': 170}, {'carriers': [{'iata': 'G9', 'name': 'Air Arabia'}], 'iata': 'SHJ', 'km': 1543, 'min': 155}, {'carriers': [{'iata': 'XY', 'name': 'Flynas'}], 'iata': 'TUU', 'km': 1281, 'min': 130}, {'carriers': [{'iata': 'XY', 'name': 'Flynas'}], 'iata': 'MED', 'km': 762, 'min': 100}, {'carriers': [{'iata': 'QR', 'name': 'Qatar Airways'}], 'iata': 'DOH', 'km': 1209, 'min': 140}]",Asia/Riyadh
