Origin,Origin Country,Destination,Destination Country,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude
ADB,Turkiye,AUH,United Arab Emirates,38.294403,27.147594,24.426912,54.645974
ADB,Turkiye,TBS,Georgia,38.294403,27.147594,41.674063,44.958958
ADB,Turkiye,SKD,Uzbekistan,38.294403,27.147594,39.696217,66.990854
ADB,Turkiye,EZS,Turkiye,38.294403,27.147594,38.599326,39.26829
ADB,Turkiye,KSY,Turkiye,38.294403,27.147594,40.551667,43.085833
ADB,Turkiye,TBZ,Iran,38.294403,27.147594,38.122849,46.244274
ADB,Turkiye,DXB,United Arab Emirates,38.294403,27.147594,25.256557,55.366071
ADB,Turkiye,JED,Saudi Arabia,38.294403,27.147594,21.670232,39.150579
ADE,Republic of Yemen,JED,Saudi Arabia,12.826116,45.037535,21.670232,39.150579
ADE,Republic of Yemen,RIY,Republic of Yemen,12.826116,45.037535,14.666999,49.373684
ADE,Republic of Yemen,RUH,Saudi Arabia,12.826116,45.037535,24.959289,46.702876
ADE,Republic of Yemen,AMM,Jordan,12.826116,45.037535,31.722535,35.989318
ADE,Republic of Yemen,GXF,Republic of Yemen,12.826116,45.037535,15.961794,48.787085
ADE,Republic of Yemen,AAY,Republic of Yemen,12.826116,45.037535,16.195959,52.173255
ADE,Republic of Yemen,SCT,Republic of Yemen,12.826116,45.037535,12.627546,53.909245
ADE,Republic of Yemen,KWI,Kuwait,12.826116,45.037535,29.240116,47.971251
ADE,Republic of Yemen,BOM,India,12.826116,45.037535,19.089891,72.868047
ADU,Iran,THR,Iran,38.323826,48.42125,35.691534,51.321868
AEB,China,CSX,China,23.719469,106.967772,28.193336,113.214592
AEB,China,CKG,China,23.719469,106.967772,29.7192,106.641998
AEB,China,NNG,China,23.719469,106.967772,22.61321,108.167501
AEU,Iran,BND,Iran,25.875475,55.033913,27.21059,56.368384
AGR,India,LKO,India,27.158333,77.962778,26.764257,80.884186
AGR,India,BLR,India,27.158333,77.962778,13.200771,77.710228
AGR,India,BOM,India,27.158333,77.962778,19.089891,72.868047
AGR,India,HYD,India,27.158333,77.962778,17.233702,78.430427
AGX,India,COK,India,10.828967,72.179874,10.155644,76.390537
AGX,India,BLR,India,10.828967,72.179874,13.200771,77.710228
AGX,India,GOX,India,10.828967,72.179874,15.73139,73.86778
AHB,Saudi Arabia,RUH,Saudi Arabia,18.23429,42.657575,24.959289,46.702876
AHB,Saudi Arabia,JED,Saudi Arabia,18.23429,42.657575,21.670232,39.150579
AHB,Saudi Arabia,DMM,Saudi Arabia,18.23429,42.657575,26.471111,49.797778
AHB,Saudi Arabia,DXB,United Arab Emirates,18.23429,42.657575,25.256557,55.366071
AHB,Saudi Arabia,SHJ,United Arab Emirates,18.23429,42.657575,25.320873,55.52029
AHB,Saudi Arabia,TUU,Saudi Arabia,18.23429,42.657575,28.373017,36.598686
AHB,Saudi Arabia,MED,Saudi Arabia,18.23429,42.657575,24.544369,39.698966
AHB,Saudi Arabia,DOH,Qatar,18.23429,42.657575,25.260988,51.613594
AHJ,China,LXA,China,32.527401,102.357396,29.2978,90.911903
AHJ,China,TFU,China,32.527401,102.357396,30.314195,104.44186
AJF,Saudi Arabia,RUH,Saudi Arabia,29.788668,40.101486,24.959289,46.702876
AJF,Saudi Arabia,JED,Saudi Arabia,29.788668,40.101486,21.670232,39.150579
AJF,Saudi Arabia,SHJ,United Arab Emirates,29.788668,40.101486,25.320873,55.52029
AJF,Saudi Arabia,DXB,United Arab Emirates,29.788668,40.101486,25.256557,55.366071
AJI,Turkiye,ESB,Turkiye,39.65,43.025,40.114941,32.993145
AJI,Turkiye,IST,Turkiye,39.65,43.025,41.260278,28.741944
AJI,Turkiye,SAW,Turkiye,39.65,43.025,40.904676,29.309188
AJK,Iran,MHD,Iran,34.134875,49.842483,36.235207,59.640996
AJL,India,CCU,India,23.838986,92.624815,22.655,88.447
AJL,India,GAU,India,23.838986,92.624815,26.105185,91.588427
AJL,India,IMF,India,23.838986,92.624815,24.76457,93.897063
AJL,India,DEL,India,23.838986,92.624815,28.556162,77.099958
AJL,India,SHL,India,23.838986,92.624815,25.704872,91.975983
AKA,China,CAN,China,32.7091,108.936,23.387862,113.29734
AKA,China,HGH,China,32.7091,108.936,30.236934,120.432356
AKA,China,PKX,China,32.7091,108.936,39.508611,116.410833
AKA,China,PVG,China,32.7091,108.936,31.143333,121.805278
AKA,China,WUH,China,32.7091,108.936,30.776789,114.217577
AKA,China,CZX,China,32.7091,108.936,31.914116,119.779762
AKA,China,LHW,China,32.7091,108.936,36.509497,103.61756
AKA,China,SZX,China,32.7091,108.936,22.639444,113.810833
AKJ,Japan,HND,Japan,43.671091,142.454546,35.553476,139.781206
AKJ,Japan,NGO,Japan,43.671091,142.454546,34.858333,136.805278
AKJ,Japan,ITM,Japan,43.671091,142.454546,34.790975,135.441719
AKJ,Japan,NRT,Japan,43.671091,142.454546,35.773213,140.387443
AKJ,Japan,ICN,Republic of Korea,43.671091,142.454546,37.458764,126.441961
AKJ,Japan,TPE,Taiwan,43.671091,142.454546,25.075512,121.23248
AKU,China,URC,China,41.259984,80.292618,43.90126,87.475148
AKU,China,TFU,China,41.259984,80.292618,30.314195,104.44186
AKU,China,CGO,China,41.259984,80.292618,34.527519,113.840242
AKU,China,YIN,China,41.259984,80.292618,43.951998,81.331444
AKU,China,LHW,China,41.259984,80.292618,36.509497,103.61756
AKU,China,KCA,China,41.259984,80.292618,41.71806,82.98694
AKU,China,CKG,China,41.259984,80.292618,29.7192,106.641998
AKU,China,XIY,China,41.259984,80.292618,34.438416,108.760946
AKU,China,BPL,China,41.259984,80.292618,44.895,82.299722
AKU,China,KRY,China,41.259984,80.292618,45.616667,84.883333
AKU,China,TWC,China,41.259984,80.292618,39.888331,79.234455
AKU,China,INC,China,41.259984,80.292618,38.323031,106.388059
AKU,China,QSZ,China,41.259984,80.292618,38.245562,77.056094
AKU,China,KHG,China,41.259984,80.292618,39.53689,76.010387
AKU,China,ACF,China,41.259984,80.292618,40.435556,81.263889
AKU,China,TLQ,China,41.259984,80.292618,43.019961,89.074545
AKU,China,FYN,China,41.259984,80.292618,46.801111,89.538333
AKU,China,JJN,China,41.259984,80.292618,24.802809,118.587293
AKU,China,KRL,China,41.259984,80.292618,41.616399,86.143123
AKU,China,PEK,China,41.259984,80.292618,40.078538,116.587095
AKU,China,WUH,China,41.259984,80.292618,30.776789,114.217577
AKX,Kazakhstan,NQZ,Kazakhstan,50.249336,57.211403,51.027811,71.461199
AKX,Kazakhstan,ALA,Kazakhstan,50.249336,57.211403,43.35136,77.037091
AKX,Kazakhstan,GUW,Kazakhstan,50.249336,57.211403,47.122815,51.829554
AKX,Kazakhstan,SCO,Kazakhstan,50.249336,57.211403,43.857447,51.089073
AKX,Kazakhstan,HSA,Kazakhstan,50.249336,57.211403,43.31111,68.550278
AKX,Kazakhstan,IST,Turkiye,50.249336,57.211403,41.260278,28.741944
AKY,Myanmar,RGN,Myanmar,20.130278,92.880278,16.900069,96.134152
AKY,Myanmar,MDL,Myanmar,20.130278,92.880278,21.702169,95.977893
AKY,Myanmar,VBA,Myanmar,20.130278,92.880278,19.777449,94.028292
ALA,Kazakhstan,NQZ,Kazakhstan,43.35136,77.037091,51.027811,71.461199
ALA,Kazakhstan,CIT,Kazakhstan,43.35136,77.037091,42.364842,69.492845
ALA,Kazakhstan,SCO,Kazakhstan,43.35136,77.037091,43.857447,51.089073
ALA,Kazakhstan,TAS,Uzbekistan,43.35136,77.037091,41.257893,69.281204
ALA,Kazakhstan,GUW,Kazakhstan,43.35136,77.037091,47.122815,51.829554
ALA,Kazakhstan,IST,Turkiye,43.35136,77.037091,41.260278,28.741944
ALA,Kazakhstan,DXB,United Arab Emirates,43.35136,77.037091,25.256557,55.366071
ALA,Kazakhstan,UKK,Kazakhstan,43.35136,77.037091,50.03657,82.493495
ALA,Kazakhstan,AKX,Kazakhstan,43.35136,77.037091,50.249336,57.211403
ALA,Kazakhstan,DEL,India,43.35136,77.037091,28.556162,77.099958
ALA,Kazakhstan,KGF,Kazakhstan,43.35136,77.037091,49.675257,73.328364
ALA,Kazakhstan,URC,China,43.35136,77.037091,43.90126,87.475148
ALA,Kazakhstan,ICN,Republic of Korea,43.35136,77.037091,37.458764,126.441961
ALA,Kazakhstan,PWQ,Kazakhstan,43.35136,77.037091,52.195808,77.073959
ALA,Kazakhstan,URA,Kazakhstan,43.35136,77.037091,51.153708,51.538562
ALA,Kazakhstan,DOH,Qatar,43.35136,77.037091,25.260988,51.613594
ALA,Kazakhstan,KZO,Kazakhstan,43.35136,77.037091,44.70727,65.592248
ALA,Kazakhstan,AYT,Turkiye,43.35136,77.037091,36.899282,30.801349
ALA,Kazakhstan,FRU,Kyrgyzstan,43.35136,77.037091,43.053581,74.469449
ALA,Kazakhstan,PLX,Kazakhstan,43.35136,77.037091,50.351741,80.233789
ALA,Kazakhstan,AUH,United Arab Emirates,43.35136,77.037091,24.426912,54.645974
ALA,Kazakhstan,DMB,Kazakhstan,43.35136,77.037091,42.855372,71.304595
ALA,Kazakhstan,DYU,Tajikistan,43.35136,77.037091,38.54894,68.817287
ALA,Kazakhstan,GYD,Azerbaijan,43.35136,77.037091,40.462487,50.05039
ALA,Kazakhstan,KSN,Kazakhstan,43.35136,77.037091,53.206083,63.550049
ALA,Kazakhstan,PEK,China,43.35136,77.037091,40.078538,116.587095
ALA,Kazakhstan,SHJ,United Arab Emirates,43.35136,77.037091,25.320873,55.52029
ALA,Kazakhstan,TBS,Georgia,43.35136,77.037091,41.674063,44.958958
ALA,Kazakhstan,PKX,China,43.35136,77.037091,39.508611,116.410833
ALA,Kazakhstan,HKT,Thailand,43.35136,77.037091,8.107619,98.306436
ALA,Kazakhstan,PPK,Kazakhstan,43.35136,77.037091,54.775735,69.187045
ALA,Kazakhstan,HSA,Kazakhstan,43.35136,77.037091,43.31111,68.550278
ALA,Kazakhstan,KWI,Kuwait,43.35136,77.037091,29.240116,47.971251
ALA,Kazakhstan,BUS,Georgia,43.35136,77.037091,41.610833,41.600556
ALA,Kazakhstan,BKK,Thailand,43.35136,77.037091,13.693062,100.752044
ALA,Kazakhstan,HGH,China,43.35136,77.037091,30.236934,120.432356
ALA,Kazakhstan,KUL,Malaysia,43.35136,77.037091,2.744344,101.717259
ALA,Kazakhstan,SAW,Turkiye,43.35136,77.037091,40.904676,29.309188
ALA,Kazakhstan,MLE,Maldives,43.35136,77.037091,4.19183,73.529108
ALA,Kazakhstan,UBN,Mongolia,43.35136,77.037091,47.646944,106.819722
ALA,Kazakhstan,ESB,Turkiye,43.35136,77.037091,40.114941,32.993145
ALA,Kazakhstan,JED,Saudi Arabia,43.35136,77.037091,21.670232,39.150579
ALA,Kazakhstan,DZN,Kazakhstan,43.35136,77.037091,47.7,67.733333
ALA,Kazakhstan,KOV,Kazakhstan,43.35136,77.037091,53.333268,69.591593
ALA,Kazakhstan,KUT,Georgia,43.35136,77.037091,42.176389,42.4825
ALA,Kazakhstan,XIY,China,43.35136,77.037091,34.438416,108.760946
ALA,Kazakhstan,NCU,Uzbekistan,43.35136,77.037091,42.483333,59.633333
ALA,Kazakhstan,BJV,Turkiye,43.35136,77.037091,37.243952,27.672781
ALA,Kazakhstan,MCT,Oman,43.35136,77.037091,23.600739,58.284042
ALA,Kazakhstan,MED,Saudi Arabia,43.35136,77.037091,24.544369,39.698966
ALA,Kazakhstan,PQC,Viet Nam,43.35136,77.037091,10.169789,103.993104
ALP,Syrian Arab Republic,SHJ,United Arab Emirates,36.185351,37.227073,25.320873,55.52029
ALP,Syrian Arab Republic,EVN,Armenia,36.185351,37.227073,40.15272,44.39805
AMD,India,DEL,India,23.066389,72.624167,28.556162,77.099958
AMD,India,BOM,India,23.066389,72.624167,19.089891,72.868047
AMD,India,BLR,India,23.066389,72.624167,13.200771,77.710228
AMD,India,PNQ,India,23.066389,72.624167,18.581389,73.920556
AMD,India,AUH,United Arab Emirates,23.066389,72.624167,24.426912,54.645974
AMD,India,JAI,India,23.066389,72.624167,26.822004,75.800995
AMD,India,CCU,India,23.066389,72.624167,22.655,88.447
AMD,India,DXB,United Arab Emirates,23.066389,72.624167,25.256557,55.366071
AMD,India,HYD,India,23.066389,72.624167,17.233702,78.430427
AMD,India,IDR,India,23.066389,72.624167,22.72715,75.808227
AMD,India,GOI,India,23.066389,72.624167,15.384534,73.839825
AMD,India,MAA,India,23.066389,72.624167,12.982267,80.163782
AMD,India,IXC,India,23.066389,72.624167,30.676809,76.788039
AMD,India,LKO,India,23.066389,72.624167,26.764257,80.884186
AMD,India,BHO,India,23.066389,72.624167,23.290623,77.335531
AMD,India,VNS,India,23.066389,72.624167,25.449697,82.853732
AMD,India,NAG,India,23.066389,72.624167,21.090037,79.05636
AMD,India,JDH,India,23.066389,72.624167,26.263948,73.050552
AMD,India,KWI,Kuwait,23.066389,72.624167,29.240116,47.971251
AMD,India,ATQ,India,23.066389,72.624167,31.705398,74.806739
AMD,India,BBI,India,23.066389,72.624167,20.252853,85.817385
AMD,India,JED,Saudi Arabia,23.066389,72.624167,21.670232,39.150579
AMD,India,KUL,Malaysia,23.066389,72.624167,2.744344,101.717259
AMD,India,DMK,Thailand,23.066389,72.624167,13.9125,100.606667
AMD,India,BHJ,India,23.066389,72.624167,23.2875,69.670556
AMD,India,DED,India,23.066389,72.624167,30.316667,78.033333
AMD,India,PAT,India,23.066389,72.624167,25.594891,85.090669
AMD,India,IXU,India,23.066389,72.624167,19.866464,75.397207
AMD,India,SGN,Viet Nam,23.066389,72.624167,10.813045,106.662477
AMD,India,BKK,Thailand,23.066389,72.624167,13.693062,100.752044
AMD,India,COK,India,23.066389,72.624167,10.155644,76.390537
AMD,India,DOH,Qatar,23.066389,72.624167,25.260988,51.613594
AMD,India,SHJ,United Arab Emirates,23.066389,72.624167,25.320873,55.52029
AMD,India,SIN,Singapore,23.066389,72.624167,1.361173,103.990201
AMD,India,DIU,India,23.066389,72.624167,20.716667,70.916667
AMD,India,SXR,India,23.066389,72.624167,34.002308,74.762631
AMD,India,ISK,India,23.066389,72.624167,20.119548,73.913354
AMD,India,GOX,India,23.066389,72.624167,15.73139,73.86778
AMD,India,UDR,India,23.066389,72.624167,24.61919,73.891269
AMD,India,IXR,India,23.066389,72.624167,23.318192,85.322851
AMD,India,IXB,India,23.066389,72.624167,26.68488,88.324816
AMD,India,IXJ,India,23.066389,72.624167,32.68077,74.842824
